Unique Store_ID,Unique Product_ID,23.11.2019,30.11.2019,07.12.2019,14.12.2019,21.12.2019,28.12.2019,04.01.2020,11.01.2020,18.01.2020,25.01.2020,01.02.2020,08.02.2020,15.02.2020
Store 1,Product 650,27,23,19,16,19,19,14,22,16,4,8,12,14
Store 1,Product 164,1,1,0,0,0,0,0,0,0,0,0,0,0
Store 1,Product 518,18,11,11,13,10,9,4,8,4,-3,11,11,37
Store 1,Product 430,32,32,28,22,24,16,22,21,15,40,36,22,26
Store 1,Product 296,4,8,8,32,30,30,28,20,18,18,18,12,10
Store 1,Product 441,9,8,6,11,9,8,3,10,8,4,10,8,-6
Store 1,Product 259,18,18,14,8,12,8,12,10,10,8,10,6,14
Store 1,Product 278,4,9,5,8,7,6,5,2,8,8,18,12,10
Store 1,Product 628,14,7,15,10,10,5,3,9,6,21,21,13,25
Store 1,Product 594,6,5,15,16,8,11,15,12,15,17,13,5,-3
Store 1,Product 815,35,35,38,28,24,38,28,35,30,27,33,19,9
Store 1,Product 767,35,31,22,19,15,27,22,16,19,19,19,23,11
Store 1,Product 789,32,19,18,22,23,24,31,26,18,37,63,63,27
Store 1,Product 758,41,25,23,18,19,19,13,23,12,50,76,58,44
Store 1,Product 699,12,12,7,10,7,9,7,5,7,26,24,14,8
Store 1,Product 424,7,11,7,10,9,9,9,7,7,15,13,9,5
Store 1,Product 527,3,3,2,0,2,1,3,0,2,4,0,0,4
Store 1,Product 785,11,16,15,16,16,17,16,13,9,98,104,70,32
Store 1,Product 499,13,12,12,12,12,12,12,12,11,10,10,8,8
Store 1,Product 44,36,73,61,60,49,33,21,16,11,14,6,34,30
Store 1,Product 453,16,13,20,15,10,5,10,13,12,14,8,8,8
Store 1,Product 452,4,4,2,7,7,7,8,7,6,6,4,2,2
Store 1,Product 506,3,3,3,3,3,2,3,3,3,1,5,5,5
Store 1,Product 488,4,4,4,4,6,5,5,3,3,3,3,-1,-1
Store 1,Product 587,7,6,8,6,2,11,10,10,9,4,6,8,8
Store 1,Product 821,43,40,17,18,25,22,10,7,26,42,46,36,40
Store 1,Product 860,40,34,27,33,72,53,86,85,39,115,425,359,129
Store 1,Product 622,3,2,2,2,2,2,2,2,1,6,4,4,2
Store 1,Product 519,21,14,14,11,10,8,7,6,5,11,7,17,9
Store 1,Product 547,5,2,5,3,3,3,2,2,2,2,4,2,2
Store 1,Product 533,3,4,3,1,3,3,3,2,4,6,4,2,0
Store 1,Product 540,4,3,4,2,12,10,9,8,10,8,2,8,-2
Store 1,Product 857,2,2,2,2,2,2,1,2,2,0,2,0,0
Store 1,Product 698,5,5,3,3,2,0,3,3,3,-1,9,5,5
Store 1,Product 158,8,8,6,2,4,3,1,3,3,3,1,1,-1
Store 1,Product 289,67,66,60,49,53,45,58,48,42,68,46,46,54
Store 1,Product 589,7,3,6,3,7,6,6,8,4,2,10,6,2
Store 1,Product 285,11,5,15,7,8,9,4,3,7,3,-3,3,1
Store 1,Product 248,14,13,14,18,10,8,7,18,16,13,33,25,17
Store 1,Product 244,10,14,9,4,9,9,9,9,9,11,-1,1,3
Store 1,Product 255,19,19,7,20,11,9,10,31,13,44,46,42,32
Store 1,Product 252,12,27,20,19,16,18,7,13,11,12,12,40,18
Store 1,Product 256,12,10,13,10,9,6,2,6,13,13,17,29,15
Store 1,Product 306,14,17,15,8,13,5,6,15,8,33,17,15,15
Store 1,Product 210,20,20,17,23,4,0,6,10,18,11,9,-13,11
Store 1,Product 280,28,42,25,18,15,12,7,9,3,0,8,30,26
Store 1,Product 249,21,23,19,18,14,17,10,11,13,-1,23,31,21
Store 1,Product 228,14,10,15,10,11,8,7,9,10,14,20,22,14
Store 1,Product 208,31,49,34,24,0,0,13,4,0,16,10,14,-6
Store 1,Product 225,0,0,0,0,7,4,9,10,17,36,26,18,28
Store 1,Product 216,10,7,4,8,8,9,7,6,9,2,4,6,-2
Store 1,Product 497,24,21,14,6,27,18,16,15,13,35,27,39,31
Store 1,Product 483,10,9,6,9,9,8,6,4,4,0,12,8,6
Store 1,Product 565,6,6,4,8,6,3,6,5,5,-3,1,5,-1
Store 1,Product 261,10,5,4,19,10,10,10,8,8,4,-8,0,0
Store 1,Product 665,2,2,1,2,2,2,2,1,2,-2,2,10,8
Store 1,Product 536,7,7,5,7,7,6,8,8,7,9,5,3,11
Store 1,Product 631,4,5,5,8,8,6,9,5,8,2,-6,-2,4
Store 1,Product 440,7,6,11,18,10,11,11,6,9,5,11,-7,5
Store 1,Product 779,5,4,2,2,7,6,5,3,5,5,3,5,3
Store 1,Product 788,5,4,1,6,4,2,2,6,4,2,6,6,2
Store 1,Product 873,4,8,7,9,9,10,8,8,8,5,-1,7,3
Store 1,Product 838,12,5,8,2,12,11,9,0,7,19,19,15,3
Store 1,Product 639,16,21,16,18,15,12,15,8,10,20,28,18,10
Store 1,Product 438,5,5,4,5,6,3,2,2,1,5,3,-1,3
Store 1,Product 273,16,10,1,7,9,5,10,9,8,1,-1,7,5
Store 1,Product 281,3,3,7,5,4,2,7,4,6,6,10,8,4
Store 1,Product 501,18,19,16,16,10,21,16,13,9,28,26,22,26
Store 1,Product 591,12,8,14,7,17,15,15,14,7,23,11,27,19
Store 1,Product 340,11,30,26,22,16,10,5,16,10,30,22,16,36
Store 1,Product 323,37,24,11,24,13,11,4,16,14,13,13,9,-7
Store 1,Product 212,16,40,27,51,44,40,37,26,15,4,14,18,36
Store 1,Product 214,10,19,14,8,8,7,7,6,7,-2,12,10,22
Store 1,Product 444,62,84,64,57,65,77,65,82,69,42,8,2,-10
Store 1,Product 713,32,31,33,31,24,29,17,23,15,27,5,19,13
Store 1,Product 729,72,77,60,49,54,60,53,48,42,39,99,61,77
Store 1,Product 720,21,32,26,24,27,28,15,18,11,25,81,55,29
Store 1,Product 570,34,28,23,20,19,14,19,13,7,22,12,16,16
Store 1,Product 577,20,19,15,10,6,8,8,6,6,18,20,18,12
Store 1,Product 548,27,17,14,12,5,7,8,6,8,16,16,16,8
Store 1,Product 595,122,108,97,97,83,66,54,51,13,23,11,75,83
Store 1,Product 640,33,38,31,28,27,25,19,16,6,8,10,18,8
Store 1,Product 236,5,5,4,4,4,4,3,3,3,2,-2,2,2
Store 1,Product 605,8,8,14,12,10,7,4,2,7,-1,3,19,15
Store 1,Product 559,8,10,7,13,11,8,7,6,3,21,11,21,17
Store 1,Product 545,70,62,56,48,42,33,26,19,33,14,-10,22,8
Store 1,Product 542,44,38,26,33,24,25,23,20,17,61,41,29,35
Store 1,Product 637,4,4,2,4,5,5,5,5,3,5,3,7,5
Store 1,Product 659,19,11,15,9,9,8,16,16,16,11,-3,23,15
Store 1,Product 697,3,3,5,2,4,5,3,4,3,7,9,5,-3
Store 1,Product 743,9,6,7,9,10,10,10,10,5,5,9,9,-1
Store 1,Product 21,6,6,8,5,6,4,0,3,9,2,-2,0,0
Store 1,Product 678,2,2,2,2,2,2,1,2,2,2,2,2,2
Store 1,Product 12,0,0,1,0,1,0,0,2,0,6,6,2,10
Store 1,Product 484,28,32,26,46,52,65,58,52,51,45,31,17,3
Store 1,Product 495,0,0,0,0,10,9,4,7,16,14,14,12,6
Store 1,Product 551,13,10,9,6,5,5,5,2,4,3,5,3,5
Store 1,Product 586,11,16,10,14,13,5,13,12,12,19,19,19,13
Store 1,Product 604,9,7,7,7,7,8,1,5,2,7,5,7,5
Store 1,Product 825,5,2,4,0,4,6,6,6,5,3,5,1,5
Store 1,Product 727,3,4,3,1,5,6,6,7,4,8,10,4,-2
Store 1,Product 611,30,30,22,14,26,18,23,23,22,45,39,13,17
Store 1,Product 294,15,15,15,13,13,12,11,8,9,10,2,6,0
Store 1,Product 246,8,6,6,4,3,0,6,11,9,-2,0,-2,0
Store 1,Product 150,6,6,4,3,6,4,1,2,3,3,-1,5,1
Store 1,Product 175,3,1,4,7,15,8,5,4,2,2,2,0,2
Store 1,Product 146,6,7,8,8,7,3,2,2,2,4,4,4,0
Store 1,Product 414,3,7,2,1,12,11,9,8,5,5,-3,-3,-3
Store 1,Product 593,6,17,11,15,10,7,7,6,1,16,18,12,18
Store 1,Product 625,22,25,19,14,17,13,10,8,5,9,55,53,59
Store 1,Product 610,10,9,5,24,18,15,8,8,8,8,8,8,6
Store 1,Product 493,11,12,11,12,13,7,9,9,9,9,7,5,5
Store 1,Product 478,16,22,17,29,21,11,24,15,23,23,41,25,7
Store 1,Product 479,19,17,22,20,19,13,11,14,10,4,2,12,12
Store 1,Product 627,38,40,34,32,27,17,13,20,0,-1,-1,61,51
Store 1,Product 544,9,11,5,0,0,0,0,0,9,5,17,31,27
Store 1,Product 553,11,9,10,6,2,7,2,27,24,16,2,-4,-6
Store 1,Product 363,13,20,16,14,15,23,15,25,19,51,33,47,35
Store 1,Product 189,51,44,44,48,34,20,9,5,16,26,6,18,16
Store 1,Product 532,27,26,17,19,15,13,10,7,4,1,15,13,11
Store 1,Product 498,42,63,57,49,47,46,47,40,53,47,21,37,51
Store 1,Product 597,6,6,5,4,7,7,7,5,8,-8,10,30,22
Store 1,Product 579,25,24,15,14,9,17,15,17,15,9,3,7,31
Store 1,Product 609,15,22,15,13,10,7,8,10,12,7,15,-1,5
Store 1,Product 265,22,18,17,23,23,21,12,23,22,16,-8,18,14
Store 1,Product 360,6,15,10,12,9,10,8,6,6,4,12,6,14
Store 1,Product 537,9,11,8,6,6,11,8,7,6,5,-5,7,7
Store 1,Product 477,6,5,2,7,4,9,6,5,3,11,7,1,11
Store 1,Product 435,23,23,29,30,26,21,19,18,14,4,0,-2,-12
Store 1,Product 468,17,29,16,8,20,46,44,47,44,19,5,-13,-5
Store 1,Product 563,17,30,26,20,11,14,14,16,10,52,56,40,34
Store 1,Product 562,36,31,23,11,13,5,7,15,15,40,28,16,16
Store 1,Product 786,19,15,8,11,9,7,16,17,33,24,52,34,46
Store 1,Product 684,30,21,7,35,31,23,22,15,10,-5,-5,-5,-5
Store 1,Product 671,14,12,12,21,20,20,18,13,22,14,14,8,8
Store 1,Product 653,3,2,3,3,0,0,1,3,2,5,3,5,3
Store 1,Product 932,24,21,18,15,13,5,9,4,8,8,8,6,4
Store 1,Product 573,9,9,9,12,9,10,8,0,10,-3,9,27,21
Store 1,Product 447,2,1,3,3,2,1,2,0,4,4,4,2,0
Store 1,Product 633,6,4,3,6,6,5,2,5,4,2,-2,6,0
Store 1,Product 24,169,153,137,124,113,100,93,79,69,46,26,2,-6
Store 1,Product 67,9,13,11,10,12,8,3,6,2,14,10,6,2
Store 1,Product 475,4,4,5,3,3,4,2,5,5,5,-1,7,3
Store 1,Product 481,5,7,5,3,3,4,5,5,5,5,1,-3,1
Store 1,Product 778,9,11,5,9,10,9,7,6,6,6,0,4,4
Store 1,Product 237,39,52,35,28,24,14,18,16,9,9,35,11,31
Store 1,Product 963,17,17,18,15,14,17,17,14,9,3,35,37,53
Store 1,Product 695,7,9,12,7,8,6,5,6,4,19,11,7,5
Store 1,Product 245,15,26,20,39,46,44,39,34,24,7,-7,-11,-9
Store 1,Product 450,4,4,2,4,4,4,4,7,5,5,1,1,1
Store 1,Product 736,19,21,16,11,14,15,14,10,7,19,13,9,5
Store 1,Product 535,0,7,8,8,8,3,3,2,5,9,3,3,11
Store 1,Product 177,4,3,3,5,5,4,3,2,2,2,2,2,2
Store 1,Product 502,2,2,2,2,2,2,2,2,2,2,2,2,2
Store 1,Product 413,4,2,5,1,5,3,3,3,3,3,-1,-1,-3
Store 1,Product 321,25,31,25,21,33,21,22,21,20,20,20,20,18
Store 1,Product 227,11,21,17,7,29,20,21,19,27,24,30,16,26
Store 1,Product 437,3,5,1,3,6,5,3,3,1,3,3,5,5
Store 1,Product 467,2,5,3,6,6,4,4,3,2,1,3,1,1
Store 1,Product 295,11,18,18,16,6,-1,6,5,0,0,0,8,4
Store 1,Product 239,25,35,23,44,65,53,50,40,22,16,-4,10,14
Store 1,Product 310,15,12,8,6,2,6,3,14,13,8,2,0,-2
Store 1,Product 433,72,87,71,88,103,90,81,90,71,42,24,0,8
Store 1,Product 235,8,13,7,21,14,11,9,8,8,6,12,8,8
Store 1,Product 181,12,12,6,12,13,11,9,6,6,5,5,5,5
Store 1,Product 740,18,14,11,15,15,14,9,13,9,10,8,6,6
Store 1,Product 258,41,36,32,82,77,81,61,88,64,67,109,157,95
Store 1,Product 229,36,30,29,68,65,61,34,44,36,54,38,84,60
Store 1,Product 221,18,24,16,28,21,15,10,24,3,18,34,28,8
Store 1,Product 343,23,46,33,45,29,21,12,22,18,18,16,14,12
Store 1,Product 629,3,6,6,4,3,2,5,2,5,0,6,8,6
Store 1,Product 429,5,25,22,21,18,16,15,12,11,1,9,9,5
Store 1,Product 541,46,45,36,37,38,25,27,34,20,47,47,45,47
Store 1,Product 410,7,5,11,4,18,12,20,17,16,12,8,4,-4
Store 1,Product 251,6,12,9,6,9,8,9,7,9,5,3,1,-3
Store 1,Product 763,63,62,41,44,37,32,39,34,61,53,85,89,75
Store 1,Product 436,2,4,3,6,6,6,5,4,2,0,4,4,2
Store 1,Product 552,0,8,5,7,4,3,3,2,3,1,11,9,5
Store 1,Product 564,7,6,5,4,3,3,8,3,5,-3,9,7,7
Store 1,Product 606,8,7,3,6,5,4,4,3,6,6,4,6,4
Store 1,Product 358,16,19,10,14,11,13,8,12,12,12,10,10,10
Store 1,Product 330,11,13,11,16,14,11,18,22,16,23,-3,37,31
Store 1,Product 421,4,2,4,5,4,5,5,4,2,10,6,10,8
Store 1,Product 276,17,14,10,9,13,8,9,14,11,1,5,9,11
Store 1,Product 350,8,6,18,18,18,15,10,8,7,7,5,15,13
Store 1,Product 234,11,9,7,30,28,27,22,13,12,12,6,2,-2
Store 1,Product 219,27,29,19,25,18,18,15,16,12,28,24,28,24
Store 1,Product 509,9,25,21,20,16,13,11,10,20,14,12,4,6
Store 1,Product 361,9,19,12,10,11,5,8,8,7,5,5,5,3
Store 1,Product 269,12,19,12,19,17,16,9,9,10,12,14,10,10
Store 1,Product 334,27,22,14,28,21,16,9,27,21,36,28,22,46
Store 1,Product 351,14,13,22,10,18,16,12,33,25,21,7,23,21
Store 1,Product 726,15,31,26,26,25,23,21,20,15,7,5,-5,-1
Store 1,Product 694,5,6,4,3,5,4,3,3,3,7,5,5,-1
Store 1,Product 500,5,8,9,3,7,6,5,5,8,6,4,4,2
Store 1,Product 423,73,77,58,64,77,68,68,91,84,69,33,3,-15
Store 1,Product 442,117,129,111,140,120,125,100,112,95,71,47,5,-21
Store 1,Product 432,50,56,55,55,52,52,52,53,46,35,25,-1,-23
Store 1,Product 274,4,4,6,5,7,5,9,6,5,32,26,26,24
Store 1,Product 667,31,28,24,26,19,12,19,17,19,21,19,15,15
Store 1,Product 224,21,24,21,48,44,39,9,16,8,12,18,18,20
Store 1,Product 272,18,13,24,18,13,11,5,21,10,33,37,31,39
Store 1,Product 307,33,23,14,25,30,13,12,12,11,11,5,1,1
Store 1,Product 298,18,20,10,8,13,11,9,4,4,12,12,6,4
Store 1,Product 416,19,15,14,13,6,8,6,0,6,2,4,0,0
Store 1,Product 482,24,22,14,9,8,7,6,8,9,7,3,-3,1
Store 1,Product 487,8,8,7,4,9,8,8,5,10,10,6,-4,-2
Store 1,Product 612,5,1,11,5,8,8,6,4,1,4,8,-2,0
Store 1,Product 613,5,6,5,4,5,2,8,5,9,2,8,6,2
Store 1,Product 750,18,22,15,9,8,12,11,12,10,26,10,16,20
Store 1,Product 959,33,37,24,49,43,30,38,37,33,48,2,16,60
Store 1,Product 226,17,15,15,6,8,9,8,6,7,7,9,5,5
Store 1,Product 716,8,9,6,13,1,7,4,4,4,24,4,20,18
Store 1,Product 705,31,24,19,24,26,12,28,23,12,30,16,30,12
Store 1,Product 149,5,2,3,5,4,3,1,0,0,0,0,0,0
Store 1,Product 188,6,5,5,4,3,1,0,4,4,8,8,8,8
Store 1,Product 169,5,3,0,4,8,8,1,6,6,3,3,7,9
Store 1,Product 308,103,162,125,101,67,59,52,51,48,46,32,16,16
Store 1,Product 250,13,19,14,36,41,39,34,27,21,10,-20,-14,-8
Store 1,Product 299,15,14,12,11,10,7,6,15,15,15,15,27,25
Store 1,Product 293,44,30,18,33,26,20,12,11,11,11,1,1,-9
Store 1,Product 324,16,26,13,46,38,23,33,40,25,21,5,-13,-7
Store 1,Product 557,14,14,9,7,14,13,11,7,12,4,14,4,20
Store 1,Product 607,12,11,9,9,9,5,5,4,7,4,10,8,2
Store 1,Product 645,21,22,17,12,20,18,14,12,7,3,31,29,19
Store 1,Product 581,16,14,12,11,11,5,8,7,6,17,9,9,5
Store 1,Product 572,10,15,12,8,6,10,9,10,6,6,4,2,8
Store 1,Product 422,20,25,20,13,19,15,7,13,5,9,9,-1,7
Store 1,Product 584,11,14,13,14,12,11,14,11,6,21,5,17,21
Store 1,Product 660,8,15,13,8,6,13,10,9,4,19,9,25,21
Store 1,Product 675,3,3,3,2,3,3,3,3,5,5,5,5,1
Store 1,Product 474,7,8,6,15,12,12,14,17,14,7,-1,3,3
Store 1,Product 661,3,6,5,3,8,5,1,6,5,20,16,6,6
Store 1,Product 218,15,7,11,11,8,10,16,18,7,4,10,20,12
Store 1,Product 222,13,10,9,31,29,28,20,19,9,5,13,11,5
Store 1,Product 215,5,9,6,8,12,7,11,12,4,20,14,14,8
Store 1,Product 476,22,40,32,31,22,23,19,20,15,22,10,16,18
Store 1,Product 147,6,2,0,0,0,0,0,2,2,0,0,-2,4
Store 1,Product 145,13,6,22,18,2,0,0,6,6,10,8,4,2
Store 1,Product 266,11,11,9,24,24,24,15,11,10,10,8,6,6
Store 1,Product 151,5,3,9,8,3,0,0,1,3,2,6,2,-2
Store 1,Product 326,37,32,21,25,28,21,20,20,22,30,26,30,42
Store 1,Product 448,3,4,3,2,4,3,4,4,4,0,-4,2,0
Store 1,Product 263,6,5,3,2,6,6,5,5,2,0,10,0,10
Store 1,Product 232,5,7,4,6,4,3,5,3,1,13,11,7,3
Store 1,Product 561,13,6,17,15,17,18,21,18,12,24,10,24,18
Store 1,Product 691,35,31,21,13,26,14,41,47,41,58,42,62,54
Store 1,Product 692,3,5,5,2,2,4,5,6,3,-1,9,7,-3
Store 1,Product 576,17,17,12,11,18,9,13,11,17,7,13,13,23
Store 1,Product 302,38,34,28,31,23,17,5,15,12,7,5,3,-1
Store 1,Product 257,14,11,12,9,10,6,14,12,6,10,6,6,-4
Store 1,Product 449,4,2,0,0,4,4,3,2,2,-2,2,2,4
Store 1,Product 426,12,10,9,8,32,28,27,34,31,23,15,9,5
Store 1,Product 460,24,24,19,10,11,9,6,4,10,11,15,13,11
Store 1,Product 439,46,42,42,35,28,13,18,19,16,26,14,24,46
Store 1,Product 600,63,70,52,49,46,41,55,42,24,59,27,41,39
Store 1,Product 354,7,13,7,18,10,6,5,5,2,12,12,10,10
Store 1,Product 529,12,38,32,23,21,19,12,8,6,-4,-2,44,82
Store 1,Product 466,3,13,18,14,10,14,13,10,8,3,1,3,-1
Store 1,Product 708,21,21,10,18,15,13,14,8,6,12,32,28,18
Store 1,Product 782,21,19,18,13,15,11,14,10,14,9,3,7,7
Store 1,Product 712,25,27,26,24,21,18,16,16,12,24,8,14,16
Store 1,Product 721,23,19,26,20,19,18,21,15,8,33,39,15,15
Store 1,Product 745,58,51,50,45,46,43,42,38,31,23,-19,-11,-13
Store 1,Product 774,36,39,60,57,55,43,43,32,31,22,20,36,20
Store 1,Product 931,9,8,2,9,8,11,10,7,7,25,19,45,35
Store 1,Product 972,22,19,12,11,15,12,11,8,22,30,32,22,20
Store 1,Product 958,17,15,11,8,15,11,11,12,8,19,15,19,9
Store 1,Product 268,22,17,7,19,15,11,7,20,11,44,34,22,10
Store 1,Product 270,12,12,6,21,24,23,19,28,11,32,12,44,32
Store 1,Product 243,33,42,29,20,30,21,33,64,49,48,90,82,50
Store 1,Product 264,25,38,34,29,23,19,11,63,41,76,58,90,30
Store 1,Product 254,14,19,22,33,28,9,12,27,16,10,-6,8,-14
Store 1,Product 287,23,20,21,48,48,36,40,45,27,22,12,10,2
Store 1,Product 247,17,26,19,57,44,35,27,18,9,2,22,16,0
Store 1,Product 335,11,22,9,6,8,7,8,7,7,4,0,8,-2
Store 1,Product 333,5,5,5,4,7,7,5,11,10,9,7,5,3
Store 1,Product 602,5,15,13,9,7,10,8,7,5,14,2,12,8
Store 1,Product 434,5,5,4,4,4,4,4,4,4,2,2,4,0
Store 1,Product 336,11,9,8,7,6,6,4,3,3,10,10,10,8
Store 1,Product 418,11,1,1,0,0,0,0,0,0,6,8,0,6
Store 1,Product 569,62,69,50,47,49,29,32,33,32,36,14,22,20
Store 1,Product 470,37,31,24,30,45,35,24,23,10,19,31,21,15
Store 1,Product 4,15,17,17,13,9,5,4,7,8,6,0,-4,-4
Store 1,Product 7,2,2,2,2,2,2,0,2,2,2,2,2,6
Store 1,Product 5,10,10,11,4,8,5,8,5,10,0,-8,-8,4
Store 1,Product 29,13,22,18,13,9,5,6,6,9,9,9,7,5
Store 1,Product 31,3,6,5,3,5,3,0,8,5,4,2,0,4
Store 1,Product 458,4,4,3,2,4,4,6,6,4,8,8,8,6
Store 1,Product 455,3,4,5,9,10,8,10,5,7,3,1,-1,3
Store 1,Product 496,1,2,2,2,1,1,2,2,2,2,2,0,2
Store 1,Product 420,3,3,7,6,2,3,2,4,5,5,1,1,1
Store 1,Product 773,50,64,44,61,48,26,21,35,25,31,49,-1,19
Store 1,Product 630,19,20,9,23,26,18,19,16,8,60,54,48,48
Store 1,Product 615,15,13,11,11,6,10,10,11,11,17,11,9,15
Store 1,Product 950,17,15,4,12,16,12,11,11,8,29,29,23,29
Store 1,Product 18,2,2,2,2,2,2,1,2,5,2,4,4,2
Store 1,Product 457,31,30,27,37,45,27,17,20,45,30,12,-8,4
Store 1,Product 59,10,11,7,7,3,3,3,3,4,3,5,5,3
Store 1,Product 20,3,2,2,2,2,2,2,1,2,0,0,0,4
Store 1,Product 462,5,8,5,10,9,8,9,8,9,5,1,9,5
Store 1,Product 872,12,12,12,15,14,10,13,13,11,5,5,5,3
Store 1,Product 867,56,92,93,90,77,44,50,38,27,52,50,40,46
Store 1,Product 711,18,22,22,17,11,7,7,11,10,8,4,14,16
Store 1,Product 861,17,16,16,15,15,9,11,10,7,9,13,11,-3
Store 1,Product 832,10,9,11,8,6,6,6,3,6,6,8,0,6
Store 1,Product 574,12,10,8,6,4,2,6,5,4,6,14,8,4
Store 1,Product 516,5,6,6,6,6,4,4,4,4,5,-1,7,11
Store 1,Product 124,3,2,0,0,2,2,1,0,1,1,7,7,7
Store 1,Product 288,9,11,6,4,10,8,2,7,8,4,2,-2,4
Store 1,Product 349,17,32,22,15,14,7,11,14,14,52,36,72,54
Store 1,Product 327,7,12,9,8,8,7,7,7,9,5,-9,5,5
Store 1,Product 304,5,4,4,4,2,4,4,4,4,4,16,16,12
Store 1,Product 787,5,27,14,19,36,6,21,19,24,11,97,71,55
Store 1,Product 845,13,15,13,11,10,9,9,9,3,14,16,18,18
Store 1,Product 355,13,23,16,5,15,12,9,7,4,16,14,14,10
Store 1,Product 213,7,14,12,1,11,8,6,13,5,15,1,11,13
Store 1,Product 217,8,18,14,12,10,8,5,10,7,15,-1,19,21
Store 1,Product 491,5,7,23,21,18,17,14,13,13,11,9,9,3
Store 1,Product 167,6,5,2,7,9,7,5,5,5,5,3,1,1
Store 1,Product 144,11,12,9,3,6,3,5,4,7,11,11,11,9
Store 1,Product 160,8,7,6,4,7,1,2,0,2,2,2,2,2
Store 1,Product 142,6,2,8,7,6,3,1,1,1,-1,-1,5,5
Store 1,Product 148,7,9,3,16,17,15,13,9,9,7,7,5,5
Store 1,Product 170,15,17,10,12,17,10,3,1,4,0,10,8,8
Store 1,Product 178,2,1,3,6,4,1,1,2,2,2,2,2,2
Store 1,Product 850,34,44,28,9,25,17,1,26,14,15,13,23,11
Store 1,Product 700,4,9,6,5,2,5,5,3,6,2,6,4,2
Store 1,Product 739,1,2,3,3,3,3,3,3,3,-1,5,1,5
Store 1,Product 696,26,18,26,12,18,11,12,16,7,36,14,6,20
Store 1,Product 703,50,53,26,15,20,27,35,42,25,22,158,150,142
Store 1,Product 911,115,98,67,36,84,71,75,74,86,84,82,92,62
Store 1,Product 556,19,18,17,12,11,11,3,14,14,11,1,11,3
Store 1,Product 534,8,6,7,7,8,4,5,2,4,6,4,6,0
Store 1,Product 530,11,11,6,5,7,3,2,4,8,9,3,1,7
Store 1,Product 568,3,1,1,12,11,11,11,10,8,4,2,2,0
Store 1,Product 560,3,2,2,0,2,1,3,2,2,0,0,0,4
Store 1,Product 582,4,5,3,3,3,2,2,2,3,3,3,1,3
Store 1,Product 549,3,0,3,3,3,3,3,3,3,3,3,1,3
Store 1,Product 624,2,2,2,2,2,2,2,2,2,2,2,-2,2
Store 1,Product 15,6,5,4,5,4,2,4,1,2,5,-7,-1,5
Store 1,Product 670,4,4,6,6,5,4,4,4,4,4,4,2,0
Store 1,Product 25,0,4,2,3,5,4,4,0,5,9,7,5,5
Store 1,Product 566,1,2,2,2,1,2,1,2,1,3,3,3,3
Store 1,Product 666,1,2,2,2,2,1,2,2,2,3,1,3,1
Store 1,Product 620,2,2,2,2,2,2,2,1,0,3,3,3,3
Store 1,Product 617,2,2,1,2,2,2,2,1,2,0,6,6,6
Store 1,Product 592,1,3,3,2,2,3,2,1,2,6,4,4,4
Store 1,Product 626,4,4,4,4,4,4,4,4,4,4,4,4,4
